Costitems,CostType,hours,customer,estimator,status,projectName,dateUpdated,dateCreated,projectNumber,Quantity,cost,sales
3. Spreadfooting Labor ,Labor,45,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/12/2024,PS - 24 - 001,45,"$1,597.50 ","$2,092.73 "
8. Travel Labor,Labor,45,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/13/2024,PS - 24 - 001,45,"$1,597.50 ","$2,092.73 "
3500 Psi Rohrers Concrete,Part,0,"Benchmark Construction Co., Inc.",Stoltzfus Jr Isaac,In Progress,UGI Middletown Warehouse,1/16/2026,4/8/2025,MW-25-001,12,"$1,583.64 ","$2,090.40 "
Site Concrete  ,Part,0,"Ames Construction, Inc.",Steffy Rick,Bid Submitted,WaWa #8191 Hummelstown Ames,1/16/2026,7/2/2025,2506 - WH,11.27,"$1,582.87 ","$2,089.39 "
"2"" Popcorn Brick Chairs ",Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,2640,"$1,557.60 ","$2,087.18 "
#5 Rebar Non Taxable ,Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Stevens Feed Mill Schoeneck,1/16/2026,10/20/2025,2509 - SFMS,149,"$1,568.97 ","$2,086.73 "
Travel Labor,Labor,49,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/3/2025,2506 - CL ,49,"$1,862.00 ","$2,085.44 "
Vapor Barrier 6 mil 20'x100',Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Prestige Painting,1/16/2026,3/21/2025,PRE-25-001,17.9,"$1,565.18 ","$2,081.68 "
Wire Mesh 6 ga (2.9x2.9 6x6) 5'x10' Sheet,Part,0,Metropolitan Companies,Stoltzfus Jr Isaac,Lost,Millersville Apartments ,1/16/2026,4/30/2025,MA-25-001,108,"$1,564.92 ","$2,081.34 "
"Bollard Sch 40 6""x4'-0"" with cap (primed)",Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Rushtown Poultry,1/16/2026,11/6/2025,2511-RP,9,"$1,564.29 ","$2,080.51 "
Bollards Labor,Labor,44,"Hoover Building Specialists, Inc.",Swinehart Shelly,In Progress,Shank Door Main Building,1/16/2026,10/28/2025,2506-SDMB,44,"$1,562.00 ","$2,077.46 "
Wire Mesh 10 ga (1.4x1.4 6x6) 5'x10' Sheet,Part,0,"C. Raymond Davis & Sons, Inc.",Stoltzfus Jr Isaac,In Progress,Canine Partners for Life,1/16/2026,9/10/2025,2508 - CP,215,"$1,573.80 ","$2,077.42 "
Travel Labor,Labor,37.7,Speedwell Construction Inc.,Steffy Rick,Lost,Piazza Volkswagen,1/16/2026,7/9/2025,2506 - PV,37.7,"$1,432.60 ","$2,077.27 "
Travel Labor,Labor,41.1,Wohlsen Construction Company,Steffy Rick,Lost,Crossroads Beverage,1/16/2026,4/3/2025,CB - 25 - 001,41.1,"$1,561.80 ","$2,077.19 "
4000 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Heritage Metalworks,1/16/2026,5/21/2025,2505 - HM,10.33,"$1,560.35 ","$2,075.26 "
Travel Labor,Labor,42,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,In Progress,Mechanicsburg Volunteer Fire Department,1/16/2026,7/24/2025,2505-MF,42,"$1,596.00 ","$2,074.80 "
Travel Labor,Labor,39,Warfel Construction,Steffy Rick,In Progress,Veritas Academy,1/16/2026,12/10/2025,2511 - VA,39,"$1,482.00 ","$2,074.80 "
Bollards Concrete,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Smucker's Hardscape,1/16/2026,10/20/2025,2510-SH,12,"$1,560.00 ","$2,074.80 "
#4 Rebar - 20' Pc,Part,0,Metropolitan Companies,Stoltzfus Jr Isaac,Lost,Millersville Apartments ,1/16/2026,4/29/2025,MA-25-001,249,"$1,558.74 ","$2,073.12 "
#4 Rebar - 20' Pc,Part,0,Metropolitan Companies,Stoltzfus Jr Isaac,Lost,Millersville Apartments ,1/16/2026,4/30/2025,MA-25-001,249,"$1,558.74 ","$2,073.12 "
Travel Labor,Labor,41,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Apartments + Garage,1/16/2026,4/2/2025,WG-25-001,41,"$1,558.00 ","$2,072.14 "
Travel Labor,Labor,41,"Hoover Building Specialists, Inc.",Steffy Rick,In Progress,Kemper Equipment,1/16/2026,10/31/2025,2505 - KE,41,"$1,558.00 ","$2,072.14 "
4000 Psi NE Concrete  ,Part,0,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Estimating,Wawa #8236 ,1/16/2026,12/30/2025,2012 - WA ,10.5,"$1,522.50 ","$2,070.60 "
4000 Psi Rohrers Concrete  ,Part,0,CCS Building Group,Stoltzfus Jr Isaac,In Progress,Loft Community Partners,1/16/2026,10/15/2025,2508 - LC,12.5,"$1,725.00 ","$2,070.00 "
Continuous Footing Labor,Labor,40,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Estimating,Wawa #8236 ,1/16/2026,12/30/2025,2012 - WA ,40,"$1,520.00 ","$2,067.20 "
Foundation Concrete  ,Part,0,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/11/2025,2507 - M,11.5,"$1,554.23 ","$2,067.12 "
"4"" 4000 PSI Concrete",Part,0,Ebersole Builders,Steffy Rick,Bid Submitted,Landis Homes Healthcare Suite,1/16/2026,1/6/2025,LH - 25 - 001,11.5,"$1,554.23 ","$2,067.12 "
"4"" 4000 PSI Concrete",Part,0,Heck Construction,Steffy Rick,Bid Submitted,Landis Homes Healthcare Suite,1/16/2026,1/3/2025,LH - 25 - 001,11.5,"$1,554.23 ","$2,067.12 "
Continuous Footing Labor,Labor,38,"C. Raymond Davis & Sons, Inc.",Stoltzfus Jr Isaac,Bid Submitted,Chabad House,1/16/2026,11/26/2025,2511-CH,38,"$1,444.00 ","$2,064.92 "
Wall Concrete,Part,0,Paul Risk Construction,Steffy Rick,Bid Submitted,Piazza Porsche,1/16/2026,8/8/2025,2508-PP,9.63,"$1,540.80 ","$2,064.67 "
Management,Labor,27,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,27,"$1,485.00 ","$2,064.15 "
#5 Rebar - 20' Pc,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Cozy Cabins Mezzanine 2025,1/16/2026,8/11/2025,2508-CCM,151.25,"$1,551.83 ","$2,063.93 "
7. Management Labor ,Labor,28,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,28,"$1,540.00 ","$2,063.60 "
Management,Labor,28,"Milex Construction, LLC",Stoltzfus Jr Isaac,Accepted,Sadsbury Commons,1/16/2026,11/19/2025,2508 - SC,28,"$1,540.00 ","$2,063.60 "
Travel Labor,Labor,40.8,CGA Construction,Steffy Rick,In Progress,The Learning Experience,1/16/2026,5/30/2025,2505 - TLE,40.8,"$1,550.40 ","$2,062.03 "
3000 Psi Concrete  ,Part,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,9.5,"$1,483.14 ","$2,061.56 "
Pressure Treated 2x6 for Thermal Break ,Part,0,"A & E Construction, Inc.",Stoltzfus Jr Isaac,Lost,Giant Food Store #6582,1/16/2026,10/30/2025,2508 - GI,91,"$1,526.98 ","$2,061.42 "
Pressure Treated 2x6 for Thermal Break ,Part,0,Lynmar Builders,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/30/2025,2508 - GI,91,"$1,526.98 ","$2,061.42 "
Pressure Treated 2x6 for Thermal Break ,Part,0,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/27/2025,2508 - GI,91,"$1,526.98 ","$2,061.42 "
Travel Labor,Labor,39,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/5/2025,CA-25-001,39,"$1,482.00 ","$2,059.98 "
4000 Psi Clayton Concrete  ,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/3/2025,2506 - CL ,9,"$1,548.63 ","$2,059.68 "
Water Proofing Admixture,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lancaster Log Cabins 2025,1/16/2026,8/5/2025,2507-LLC,17.25,"$1,371.38 ","$2,057.06 "
4000 psi Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Spring Valley Church of God,1/16/2026,11/5/2025,2511-SVCOG,11,"$1,544.95 ","$2,054.78 "
Slab On Grade Concrete  ,Part,0,J.E. Horst Building and Remodeling,Steffy Rick,Bid Submitted,Farmer Boy Ag,1/16/2026,10/13/2025,2510 - FBA,11,"$1,544.95 ","$2,054.78 "
Slab On Grade Labor ,Labor,36,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,DAF Water Treatment Plant ,1/16/2026,12/3/2025,2503-DW,36,"$1,368.00 ","$2,052.00 "
Rebar #6 - 20' pc,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/7/2025,GR-25-001 ,86,"$1,530.80 ","$2,051.27 "
Box Expand-Tite 200 (100' per carton),Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/4/2025,GR-25-001 ,4.5,"$1,530.68 ","$2,051.10 "
Boom Pump Rental w/Operator,Subcontractor,0,"A & E Construction, Inc.",Stoltzfus Jr Isaac,Lost,Giant Food Store #6582,1/16/2026,10/30/2025,2508 - GI,1,"$1,847.05 ","$2,050.23 "
Boom Pump Rental w/Operator,Subcontractor,0,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Accepted,Giant #6582,1/16/2026,12/3/2025,2508 - GI,1,"$1,847.05 ","$2,050.23 "
Boom Pump Rental w/Operator,Subcontractor,0,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/27/2025,2508 - GI,1,"$1,847.05 ","$2,050.23 "
#5 Rebar - 20' Pc,Part,0,Hershey Excavating LLC,Stoltzfus Jr Isaac,Lost,GSK B40 Loading Dock,1/16/2026,7/8/2025,2507-GS,140,"$1,366.40 ","$2,049.60 "
Management,Labor,28,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/3/2025,2506 - CL ,28,"$1,540.00 ","$2,048.20 "
3. Spreadfooting Labor ,Labor,22,Heck Construction,Stoltzfus Jr Isaac,Lost,Poplar Square Apartment Building,1/16/2026,12/12/2024,PS - 24 - 001,22,"$1,562.00 ","$2,046.22 "
8. Travel Labor,Labor,43,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/3/2025,GR-25-001 ,43,"$1,526.50 ","$2,045.51 "
Boom Pump Rental w/Operator,Subcontractor,0,Modern Country Homes,Steffy Rick,Bid Submitted,Modern Country Homes,1/16/2026,9/9/2025,2509 - MCH,1,"$1,825.85 ","$2,044.95 "
Site Concrete Wood Forms ,Part,0,Lynmar Builders,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/30/2025,2508 - GI,1065,"$1,512.30 ","$2,041.61 "
Site Concrete Wood Forms ,Part,0,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/29/2025,2508 - GI,1065,"$1,512.30 ","$2,041.61 "
Travel Labor,Labor,40,"Centurion Construction Group, LLC",Steffy Rick,Bid Submitted,Burkentine Warehouse,1/16/2026,4/8/2025,BW - 25 - 001,40,"$1,520.00 ","$2,036.80 "
Travel Labor,Labor,34.5,CCS Building Group,Steffy Rick,In Progress,Memory Care 3A,1/16/2026,11/3/2025,2510 - MC3A,34.5,"$1,311.00 ","$2,034.67 "
Wall Concrete,Part,0,CH+N Site,Steffy Rick,In Progress,Middletown Area Primary School,1/16/2026,4/1/2025,MAPS - 25 - 001,11.75,"$1,527.50 ","$2,031.58 "
"GreenGuard Scoreboard 2""x4'x8'",Part,0,CGA Construction,Steffy Rick,In Progress,The Learning Experience,1/16/2026,5/30/2025,2505 - TLE,25.44,"$1,525.64 ","$2,029.10 "
Wire Mesh 6 ga (2.9x2.9 6x6) 5'x10' Sheet,Part,0,"Paradise Masonry, LLC",Steffy Rick,Estimating,Stevens Feed Mill (Jr's. Demo Project),1/16/2026,10/31/2025,SF-24-001,137.22,"$2,026.80 ","$2,026.80 "
Wall Forms ,Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,3024,"$1,512.00 ","$2,026.08 "
F100 Fiber Mesh,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Earl R Martin- Truck Shop,1/16/2026,8/12/2025,2508-ERM,151.1,"$1,521.58 ","$2,023.70 "
Wall Labor,Labor,40,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,40,"$1,520.00 ","$2,021.60 "
Site Concrete Labor ,Labor,40,Caritas Construction,Stoltzfus Jr Isaac,Bid Submitted,Orchard Square 2,1/16/2026,6/17/2025,2506-OS ,40,"$1,520.00 ","$2,021.60 "
Spreadfooting Labor ,Labor,40,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/3/2025,2506 - CL ,40,"$1,520.00 ","$2,021.60 "
Wall Labor,Labor,40,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,Fresh Express Cull Waste Expansion,1/16/2026,8/13/2025,2508 - FE ,40,"$1,520.00 ","$2,021.60 "
Slab On Grade Labor ,Labor,40,Funk Construction,Steffy Rick,Bid Submitted,Agape Safe Haven - Arthur Funk,1/16/2026,10/6/2025,2510 - ASH,40,"$1,520.00 ","$2,021.60 "
Foundation Labor ,Labor,40,Funk Construction,Steffy Rick,Bid Submitted,Caring Cupboard,1/16/2026,7/29/2025,2507 - CC,40,"$1,520.00 ","$2,021.60 "
Site Concrete Labor ,Labor,40,Heck Construction,Steffy Rick,Bid Submitted,Brookside Phase 8,1/16/2026,9/26/2025,2509 - BS,40,"$1,520.00 ","$2,021.60 "
Site Concrete Labor ,Labor,40,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Cozy Cabins,1/16/2026,8/13/2025,2508-CC,40,"$1,520.00 ","$2,021.60 "
Slab On Grade Labor ,Labor,40,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lanco Lift,1/16/2026,10/20/2025,2510- LL,40,"$1,520.00 ","$2,021.60 "
Slab On Grade Labor ,Labor,40,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,True Legacy Metals,1/16/2026,5/13/2025,TLM-25-001,40,"$1,520.00 ","$2,021.60 "
Labor Slab On Grade ,Labor,40,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Village Farm Market ,1/16/2026,12/31/2025,2512 - VFM,40,"$1,520.00 ","$2,021.60 "
Slab On Grade Labor ,Labor,40,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Weiler Walls,1/16/2026,11/10/2025,WWS-25-001,40,"$1,520.00 ","$2,021.60 "
Slab On Grade Labor ,Labor,40,"Professional Design & Construction, LLC",Steffy Rick,Bid Submitted,Stable Hollow Facility,1/16/2026,4/7/2025,SHF - 25 - 001,40,"$1,520.00 ","$2,021.60 "
Slab On Grade Labor ,Labor,40,Scenic Ridge Construction,Steffy Rick,Bid Submitted,Agape Safe Haven,1/16/2026,10/6/2025,2510 - ASH,40,"$1,520.00 ","$2,021.60 "
Foundation Labor ,Labor,40,Scenic Ridge Construction,Steffy Rick,Bid Submitted,Pro Ag,1/16/2026,9/10/2025,2509 - PA,40,"$1,520.00 ","$2,021.60 "
Slab On Grade Labor ,Labor,40,Speedwell Construction Inc.,Steffy Rick,Bid Submitted,Agape Safe Haven - Speedwell,1/16/2026,10/6/2025,2510 - ASH,40,"$1,520.00 ","$2,021.60 "
Site Concrete Labor ,Labor,38,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,38,"$1,444.00 ","$2,021.60 "
Wall Labor,Labor,38,Warfel Construction,Steffy Rick,Bid Submitted,Landis Homes Barn,1/16/2026,11/7/2025,2511 - LHB,38,"$1,444.00 ","$2,021.60 "
Travel Labor,Labor,20,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,20,"$1,520.00 ","$2,021.60 "
Travel Labor,Labor,20,CCS Building Group,Steffy Rick,Bid Submitted,Mosaic,1/16/2026,11/11/2025,2507 - M,20,"$1,520.00 ","$2,021.60 "
Bollards Labor,Labor,28,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,In Progress,Mechanicsburg Volunteer Fire Department,1/16/2026,7/24/2025,2505-MF,28,"$1,553.16 ","$2,019.11 "
Boom Pump Rental w/Operator,Subcontractor,0,Warfel Construction,Stoltzfus Jr Isaac,Lost,The Meadows Hybrid Homes Buildings 1 &2,1/16/2026,4/4/2025,MH-25-001,1,"$1,802.00 ","$2,018.24 "
Boom Pump Rental w/Operator,Subcontractor,0,Warfel Construction,Stoltzfus Jr Isaac,Lost,The Meadows Hybrid Homes Buildings 1 &2,1/16/2026,4/7/2025,MH-25-001,1,"$1,802.00 ","$2,018.24 "
Slab On Grade Concrete  ,Part,0,"Benchmark Construction Co., Inc.",Steffy Rick,Bid Submitted,Hershey Lumber Company,1/16/2026,8/19/2025,2508 - HLC,10.22,"$1,505.81 ","$2,017.79 "
Vapor Barrier 15 mil Viper II Class A Roll (14'x140'),Part,0,Metropolitan Companies,Stoltzfus Jr Isaac,Lost,Dublin Village II Apartments ,1/16/2026,4/28/2025,DV-25-001,4.22,"$1,516.16 ","$2,016.49 "
Trackhoe Subcontractor,Subcontractor,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/6/2025,2506 - CL ,24,"$1,800.00 ","$2,016.00 "
Rebar #4 - 20' pc,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/6/2025,GR-25-001 ,271,"$1,504.05 ","$2,015.43 "
Site Concrete Wood Forms ,Part,0,CH+N Site,Stoltzfus Jr Isaac,In Progress,Broadcasting District Site,1/16/2026,10/6/2025,2507-BS,1067,"$1,515.14 ","$2,015.14 "
Trailer Pump (Includes 3 hr) ,Subcontractor,0,Brecknock Builders LLC,Steffy Rick,Bid Submitted,Smucker Energy,1/16/2026,6/16/2025,2506 - SE,1,"$1,798.23 ","$2,014.02 "
#8 Rebar - 20' Pc,Part,0,"A & E Construction, Inc.",Stoltzfus Jr Isaac,Lost,Giant Food Store #6582,1/16/2026,10/30/2025,2508 - GI,52,"$1,490.84 ","$2,012.63 "
#8 Rebar - 20' Pc,Part,0,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/27/2025,2508 - GI,52,"$1,490.84 ","$2,012.63 "
Bollards Concrete,Part,0,Brecknock Builders LLC,Steffy Rick,Bid Submitted,Nasatka Security,1/16/2026,8/13/2025,2508 - NS,10,"$1,510.50 ","$2,008.97 "
Slab On Grade Concrete  ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Martin Appliance- Reading,1/16/2026,9/23/2025,2509-MAR,10,"$1,510.50 ","$2,008.97 "
Slab On Grade Labor ,Labor,38,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,38,"$1,444.00 ","$2,007.16 "
Rebar #6 - 20' pc,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/10/2025,GR-25-001 ,84,"$1,495.20 ","$2,003.57 "
"Galvanized Bollard 4""",Part,0,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Paradise Energy Solutions Building,1/16/2026,1/2/2025,PESB - 24-001,7,"$1,505.00 ","$2,001.65 "
Travel Labor,Labor,39,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Accepted,Giant #6582,1/16/2026,12/3/2025,2508 - GI,39,"$1,482.00 ","$2,000.70 "
3000 Psi DVC Concrete  ,Part,0,"A & E Construction, Inc.",Stoltzfus Jr Isaac,Lost,Giant Food Store #6582,1/16/2026,10/30/2025,2508 - GI,10.5,"$1,480.92 ","$1,999.24 "
3000 Psi DVC Concrete  ,Part,0,"Ames Construction, Inc.",Stoltzfus Jr Isaac,Accepted,Giant #6582,1/16/2026,12/3/2025,2508 - GI,10.5,"$1,480.92 ","$1,999.24 "
3000 Psi DVC Concrete  ,Part,0,Lynmar Builders,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/30/2025,2508 - GI,10.5,"$1,480.92 ","$1,999.24 "
3000 Psi DVC Concrete  ,Part,0,Speedwell Construction Inc.,Stoltzfus Jr Isaac,Lost,Giant Food Store,1/16/2026,10/27/2025,2508 - GI,10.5,"$1,480.92 ","$1,999.24 "
 Labor Pour and Finish,Labor,40.8,"Hoover Building Specialists, Inc.",Stoltzfus Levi,In Progress,Penn Valley Gas,1/16/2026,3/21/2025,PV-24-002,40,"$1,448.40 ","$1,998.79 "
 Labor Pour and Finish,Labor,40.8,"Hoover Building Specialists, Inc.",Stoltzfus Levi,To Do,Penn Valley Gas (Old),1/16/2026,12/9/2024,PV-24-001,40,"$1,448.40 ","$1,998.79 "
6. Poured Walls Labor ,Labor,42,Funk Construction,Stoltzfus Jr Isaac,Complete,Londonderry Village Villa B,1/16/2026,12/27/2024,LV-24-001 ,42,"$1,491.00 ","$1,997.94 "
Travel Labor,Labor,39.2,"C. Raymond Davis & Sons, Inc.",Steffy Rick,Bid Submitted,Mercedes of Wilmington,1/16/2026,8/26/2025,2508 - MOW,39.2,"$1,489.60 ","$1,996.06 "
Travel Labor,Labor,39.2,Paul Risk Construction,Steffy Rick,Bid Submitted,Mercedes of Wilmington PR,1/16/2026,9/8/2025,2508 - MOWPR,39.2,"$1,489.60 ","$1,996.06 "
Wood Wall Forms ,Part,0,"Centurion Construction Group, LLC",Stoltzfus Jr Isaac,Bid Submitted,Godshall's Quality Meats,1/16/2026,5/2/2025,2505-GM,990,"$1,435.50 ","$1,995.35 "
Boom Pump Rental w/Operator,Subcontractor,0,"Benchmark Construction Co., Inc.",Stoltzfus Jr Isaac,In Progress,UGI Middletown Warehouse,1/16/2026,4/8/2025,MW-25-001,1,"$1,993.86 ","$1,993.86 "
"Standard Wall Construction 30"" x 12'",Part,0,Berg Construction,Steffy Rick,Bid Submitted,Lanchester Landfill - WAGA Energy,1/16/2026,8/29/2025,2508 - LLWE,6,"$1,487.28 ","$1,992.96 "
#5 Rebar - 20' Pc,Part,0,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/10/2025,CA-25-001,128,"$1,433.60 ","$1,992.70 "
 4000 Psi DVC Concrete,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/8/2025,GR-25-001 ,11,"$1,486.65 ","$1,992.11 "
 4000 Psi DVC Concrete,Part,0,IMC Construction,Stoltzfus Jr Isaac,Lost,Greystar Great Valley Residential,1/16/2026,1/2/2025,GR-25-001 ,11,"$1,486.65 ","$1,992.11 "
 4000 Psi Rohrers Concrete,Part,0,"Caldwell, Heckles and Egan, Inc.",Stoltzfus Jr Isaac,Lost,Railroad Museum of PA,1/16/2026,2/27/2025,RM-25-001,10.5,"$1,485.86 ","$1,991.05 "
Wall Concrete,Part,0,CCS Building Group,Steffy Rick,In Progress,Memory Care Meditation Building,1/16/2026,11/24/2025,2511 - MCMB,10.5,"$1,474.73 ","$1,990.88 "
Trailer Pump (Includes 3 hr) ,Subcontractor,0,CCS Building Group,Steffy Rick,Lost,West King Street,1/16/2026,4/11/2025,WKS - 25 - 001,1,"$1,777.22 ","$1,990.48 "
Management,Labor,26,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/19/2025,CA-25-001,26,"$1,430.00 ","$1,987.70 "
Management,Labor,26,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/6/2025,CA-25-001,26,"$1,430.00 ","$1,987.70 "
Management,Labor,26,High Construction Company,Stoltzfus Jr Isaac,Bid Submitted,Collegeville Apartments,1/16/2026,11/5/2025,CA-25-001,26,"$1,430.00 ","$1,987.70 "
Site Concrete Wood Forms ,Part,0,"Hoover Building Specialists, Inc.",Swinehart Shelly,Bid Submitted,Lancaster Log Cabins 2025,1/16/2026,8/5/2025,2507-LLC,1052,"$1,493.84 ","$1,986.81 "
#5 Rebar - 20' Pc,Part,0,Buch Construction,Stoltzfus Jr Isaac,Bid Submitted,Broadcasting Village,1/16/2026,8/4/2025,BV-25-001,153,"$1,493.28 ","$1,986.06 "
Spreadfooting Labor ,Labor,39,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Willow Grove Retail Buildings D & H,1/16/2026,4/1/2025,WR-25-001,39,"$1,482.00 ","$1,985.88 "
Spreadfooting Labor ,Labor,39,"Milex Construction, LLC",Stoltzfus Jr Isaac,Lost,Willow Grove Retail Buildings H,1/16/2026,5/12/2025,WR-25-001,39,"$1,482.00 ","$1,985.88 "
#7 Rebar - 20' Pc,Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,CANVAS Lawrenceville-Apartments,1/16/2026,10/3/2025,2506 - CL ,68,"$1,492.60 ","$1,985.16 "
"Chairs 2"" (5' section)",Part,0,CBG Building Company,Stoltzfus Jr Isaac,Bid Submitted,Ave Horsham Apartments + Garage,1/16/2026,11/4/2025,2510 - HA,762,"$1,417.32 ","$1,984.25 "
Excavation And Backfill Labor ,Labor,36,Heck Construction,Steffy Rick,Bid Submitted,Wellspan Rothsville Ramp,1/16/2026,11/10/2025,2511 - WRR,36,"$1,368.00 ","$1,983.60 "
Slab On Grade Labor ,Labor,36,Hershey Excavating LLC,Steffy Rick,Bid Submitted,High Steel 604 Projects Hershey Excavating,1/16/2026,6/17/2025,2506 - HS604P,36,"$1,368.00 ","$1,983.60 "
Wall Labor,Labor,36,Speedwell Construction Inc.,Steffy Rick,Lost,Piazza Volkswagen,1/16/2026,7/8/2025,2506 - PV,36,"$1,368.00 ","$1,983.60 "
8. Travel Labor,Labor,42,"Callas Contractors, Inc.",Stoltzfus Jr Isaac,Lost,Cumberland Township Municipal Building,1/16/2026,1/28/2025,CM-25-001,42,"$1,491.00 ","$1,983.03 "
8. Travel Labor,Labor,42,"Callas Contractors, Inc.",Stoltzfus Jr Isaac,Lost,Cumberland Township Municipal Building,1/16/2026,1/27/2025,CM-25-001,42,"$1,491.00 ","$1,983.03 "
 1. Labor,Labor,42,"Hoover Building Specialists, Inc.",Steffy Rick,Bid Submitted,Paradise Energy Solutions Building,1/16/2026,1/2/2025,PESB - 24-001,42,"$1,491.00 ","$1,983.03 "
